State/Local, Condition, BR Key, Bridge Id, County, Municipality, Location/Structure Name, Feature Carried, Feature Intersected, Owner, Length (ft), Deck Area (sq ft), Number of Spans, Material, Structure Type, Year Built, Posting Status, Weight Limit Single, Weight Limit Combination, Deck Condition, Superstructure Condition, Substructure Condition, Culvert Condition, Planning Partner, Average Daily Traffic
"S","Good","502","02000803100745","ALLEGHENY","Hampton Township",".5 MI. SOUTH OF SR 1010","RT 0008 NB SB","GOURDHEAD RUN","STATE HIGHWAY AGENCY","46","2916.40","1","Steel","I beams","1931","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","7 - Good","N - Not applicable.","SPC","23057"
"S","Good","504","02000803601428","ALLEGHENY","Hampton Township","1400' NORTH OF MCNEAL RD.","WILLIAM FLYNN HW","BRANCH CROUSE RUN","STATE HIGHWAY AGENCY","10","480","1","Concrete (cast in place)","Arch culvert","1933","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","7 - Good","SPC","24248"
"S","Good","512","02001900100246","ALLEGHENY","Upper Saint Clair Township","AT CIRCLE DRIVE","SR 0019","BR.BRUSH RUN","STATE HIGHWAY AGENCY","20","1340","1","Concrete (cast in place)","Arch culvert","1940","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","7 - Good","SPC","24766"
"S","Good","513","02300200100000","ALLEGHENY","Upper Saint Clair Township","COUNTRY CLUB RD OVER SR19","COUNTRY CLUB DR","SR 0019","STATE HIGHWAY AGENCY","72","2772","1","Concrete (cast in place)","Rigid frame","1940","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","624"
"S","Good","514","02001900600000","ALLEGHENY","Upper Saint Clair Township","OVER SR 3004","SR 0019 NB SB","SR 3004 MCMURRAY RD","STATE HIGHWAY AGENCY","77","4427.50","1","Steel","I beams","1940","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","27132"
"S","Good","523","02001902101521","ALLEGHENY","Pittsburgh City","PITTSBURGH","BANKSVILLE RD","LITTLE SAW MILL RUN","STATE HIGHWAY AGENCY","16","960","1","Concrete (cast in place)","Box culvert","1955","OPEN, NO RESTRICTION","N/A","N/A","N - Not applicable.","N - Not applicable.","N - Not applicable.","7 - Good","SPC","13742"
"S","Good","524","02001902300000","ALLEGHENY","Pittsburgh City","350'S.W.OF FT.PITT TUNNEL","SR 0019 NB","SR 0376 EB-WB","STATE HIGHWAY AGENCY","220","10428","4","Steel","I beams","1953","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","10726"
"S","Good","549","02002200500000","ALLEGHENY","North Fayette Township","OVER T 873","RT 0022 EB WB","TWP RD 873  PARTRIDGE LN","STATE HIGHWAY AGENCY","39","3334.50","1","Prestressed precast concrete (P/S)","Box beam - (spread)","1964","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","26943"
"S","Good","551","02002200901802","ALLEGHENY","North Fayette Township","OVER OAKDALE ROAD","RT 0022 EB WB","OAKDALE ROAD SR 3063","STATE HIGHWAY AGENCY","166","15770","3","Steel","I beams","1964","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","24300"
"S","Good","572","02002800210170","ALLEGHENY","Pittsburgh City","SR 28 WB OVER MADISON A.","SR 0028 SB","MADISON AVENUE CITY PGH","STATE HIGHWAY AGENCY","92","4195.20","1","Steel","I-welded beams","1986","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","7220"
"S","Good","583","02002800810515","ALLEGHENY","Millvale Borough","70 S.B.O/RP.B & BRIDGE ST","SR 0028 SB","(4009) RP B & BRIDGE ST","STATE HIGHWAY AGENCY","275","8910","4","Steel","I-welded beams","1963","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","25375"
"S","Good","584","02002800810940","ALLEGHENY","Millvale Borough","MILLVALE OVER RAMP A","SR 28 NB-SB","SR 8046 RAMP A","STATE HIGHWAY AGENCY","60","4602","1","Steel","I beams","1963","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","59252"
"S","Good","594","02002801211214","ALLEGHENY","Etna Borough","RT 0028 OVER BUTLER ST","SR 0028 SB","SR 1001 BUTLER ST.","STATE HIGHWAY AGENCY","392","17052","4","Steel","I-riveted beams","1960","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","24754"
"S","Good","598","02002801400000","ALLEGHENY","Etna Borough, Sharpsburg Borough","@ ETNA INTERCHANGE","SR 28 NB","SR.8 NB/SB,N.MAIN,RR SP.","STATE HIGHWAY AGENCY","876","31010.40","11","Steel","I-welded beams","1960","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","30912"
"S","Good","605","02002801600000","ALLEGHENY","Sharpsburg Borough","3/4 MI.WEST OF HIGH.PARK","SR 28 NB","KITTANNING PIKE,CREEK","STATE HIGHWAY AGENCY","522","20880","6","Steel","I-welded beams","1963","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","30912"
"S","Good","607","02002801610000","ALLEGHENY","Sharpsburg Borough","RT 28 SB OVER KITTANNING","SR 28 SB","KITTANNING PIKE,SEITZ RU","STATE HIGHWAY AGENCY","570","22344","6","Prestressed precast concrete (P/S)","I beams","1963","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","30704"
"S","Good","610","02002801701326","ALLEGHENY","Sharpsburg Borough","N.B. @ SCOUT RESERVATION","SR 0028 SH","SCOUT RESERVATION ROAD","STATE HIGHWAY AGENCY","94","5076","1","Steel","I beams","1963","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","7 - Good","7 - Good","N - Not applicable.","SPC","30912"
"S","Good","612","02002801710955","ALLEGHENY","Ohara Township","SHARPSBURG O/SCOUT RES.RD","00 0028 S.B.","SCOUT RESERVATION ROAD","STATE HIGHWAY AGENCY","158","6193.60","3","Prestressed precast concrete (P/S)","Box beam - (spread)","1963","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","8 - Very Good","7 - Good","N - Not applicable.","SPC","30704"
"S","Good","614","02002801801373","ALLEGHENY","Aspinwall Borough","ASPINWALL OVER CENTER AVE","SR 0028 NB","CENTER AVE.","STATE HIGHWAY AGENCY","58","2262","1","Concrete (cast in place)","Rigid frame","1965","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","31074"
"S","Good","617","02002801811015","ALLEGHENY","Aspinwall Borough","ASPINWALL OVER CENTER AVE","SR 0028 SB","CENTER AVE","STATE HIGHWAY AGENCY","58","2262","1","Concrete (cast in place)","Rigid frame","1965","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","28188"
"S","Good","624","02101800100000","ALLEGHENY","Ohara Township","TWP.RD 503 OVER SR 0028","ALPHA DR","SR 0028 NB SB","STATE HIGHWAY AGENCY","250","13250","4","Prestressed precast concrete (P/S)","I beams","1970","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","7 - Good","7 - Good","N - Not applicable.","SPC","2359"
"S","Good","637","02002802901112","ALLEGHENY","Harmar Township","SR 28 NB OVER TURNPIKE","SR 0028 NB","PA TURNPIKE","STATE HIGHWAY AGENCY","187","10864.70","3","Steel","I-welded beams","1970","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","19866"
"S","Good","646","02002803700568","ALLEGHENY","East Deer Township","RT 28 NB O/BAILEYS RUN RD","RT 0028 NB","BAILEYS RUN RD.,CREEK","STATE HIGHWAY AGENCY","444","19536","4","Steel","I-welded beams","1976","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","17720"
"S","Good","647","02002803710878","ALLEGHENY","East Deer Township","1 MI.S.W. OF TARENTUM BRG","RT 0028 SB","BAILEYS RUN RD.,CREEK","STATE HIGHWAY AGENCY","440","24640","4","Steel","I-welded beams","1976","OPEN, NO RESTRICTION","N/A","N/A","7 - Good","7 - Good","7 - Good","N - Not applicable.","SPC","24309"
"S","Good","673","02003002500254","ALLEGHENY","East Pittsburgh Borough","RT 30 OVER BESSEMER AVE","SR 0030 EB WB","OVER BESSEMER AVE","STATE HIGHWAY AGENCY","58","3248","1","Steel","I beams","1937","OPEN, NO RESTRICTION","N/A","N/A","8 - Very Good","8 - Very Good","8 - Very Good","N - Not applicable.","SPC","19680"
